/Volumes/PSYCH_Landi/Projects/A214_MRI/a214_data/derivatives/mrtrix/sub-pb2810/sub-pb2810.qc/sub-pb2810.qc/qc.json,9.800000e-01,$f
2.400000e-01,6.851120e+00,$f
Subject_ID,avg_abs_mot,avg_rel_mot,pct_outliers_total
/Volumes/PSYCH_Landi/Projects/A214_MRI/a214_data/derivatives/mrtrix/sub-pb2810/sub-pb2810.qc/sub-pb2810.qc/qc.json,0.98,0.24,6.8511
